user_utterance,bot_response,source
"hi, how are you doing?",i'm fine. how about yourself?,original
i'm fine. how about yourself?,i'm pretty good. thanks for asking.,original
i'm pretty good. thanks for asking.,no problem. so how have you been?,original
no problem. so how have you been?,i've been great. what about you?,original
i've been great. what about you?,i've been good. i'm in school right now.,original
i've been good. i'm in school right now.,what school do you go to?,original
what school do you go to?,i go to pcc.,original
i go to pcc.,do you like it there?,original
do you like it there?,it's okay. it's a really big campus.,original
it's okay. it's a really big campus.,good luck with school.,original
good luck with school.,thank you very much.,original
how's it going?,i'm doing well. how about you?,original
i'm doing well. how about you?,"never better, thanks.",original
"never better, thanks.",so how have you been lately?,original
so how have you been lately?,i've actually been pretty good. you?,original
i've actually been pretty good. you?,i'm actually in school right now.,original
i'm actually in school right now.,which school do you attend?,original
which school do you attend?,i'm attending pcc right now.,original
i'm attending pcc right now.,are you enjoying it there?,original
are you enjoying it there?,it's not bad. there are a lot of people there.,original
it's not bad. there are a lot of people there.,good luck with that.,original
good luck with that.,thanks.,original
how are you doing today?,i'm doing great. what about you?,original
i'm doing great. what about you?,"i'm absolutely lovely, thank you.",original
"i'm absolutely lovely, thank you.",everything's been good with you?,original
everything's been good with you?,i haven't been better. how about yourself?,original
i haven't been better. how about yourself?,i started school recently.,original
i started school recently.,where are you going to school?,original
where are you going to school?,i'm going to pcc.,original
i'm going to pcc.,how do you like it so far?,original
how do you like it so far?,i like it so far. my classes are pretty good right now.,original
i like it so far. my classes are pretty good right now.,i wish you luck.,original
it's an ugly day today.,i know. i think it may rain.,original
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",original
"it's the middle of summer, it shouldn't rain today.",that would be weird.,original
that would be weird.,"yeah, especially since it's ninety degrees outside.",original
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.",original
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be.",original
"yes, it would be.",i really wish it wasn't so hot every day.,original
i really wish it wasn't so hot every day.,me too. i can't wait until winter.,original
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",original
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,original
i'd rather be cold than hot.,me too.,original
it doesn't look very nice outside today.,you're right. i think it's going to rain later.,original
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",original
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,original
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",original
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.",original
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.",original
"i know, you're absolutely right.",i wish it would cool off one day.,original
i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",original
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.",original
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.",original
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,original
i wish it was a nicer day today.,that is true. i hope it doesn't rain.,original
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,original
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,original
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,original
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,original
any rain right now would be pointless.,"that's right, it really would be.",original
"that's right, it really would be.",i want it to cool down some.,original
i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",original
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,original
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,original
it's such a nice day.,"yes, it is.",original
"yes, it is.",it looks like it may rain soon.,original
it looks like it may rain soon.,"yes, and i hope that it does.",original
"yes, and i hope that it does.",why is that?,original
why is that?,i really love how rain clears the air.,original
i really love how rain clears the air.,me too. it always smells so fresh after it rains.,original
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",original
"yes, but i love the night air after it rains.",really? why is it?,original
really? why is it?,because you can see the stars perfectly.,original
because you can see the stars perfectly.,i really hope it rains today.,original
i really hope it rains today.,"yeah, me too.",original
isn't it a nice day?,it really is.,original
it really is.,it seems that it may rain today.,original
it seems that it may rain today.,hopefully it will.,original
hopefully it will.,how come?,original
how come?,i like how clear the sky gets after it rains.,original
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,original
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,original
i especially love the night air when it rains.,really? why?,original
really? why?,the stars look so much closer after it rains.,original
the stars look so much closer after it rains.,i really want it to rain today.,original
i really want it to rain today.,"yeah, so do i.",original
don't you think it's nice out?,"yes, i think so too.",original
"yes, i think so too.",i think that it's going to rain.,original
i think that it's going to rain.,i hope that it does rain.,original
i hope that it does rain.,you like the rain?,original
you like the rain?,the sky looks so clean after it rains. i love it.,original
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,original
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,original
i love most how it is at night after it rains.,how come?,original
how come?,you can see the stars so much more clearly after it rains.,original
you can see the stars so much more clearly after it rains.,i would love for it to rain today.,original
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,original
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,original
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,original
is it going to be perfect beach weather?,i believe so.,original
i believe so.,good. i hope it doesn't cool off this weekend.,original
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,original
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,original
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",original
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,original
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,original
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",original
